team_name,ballpark,left_field,center_field,right_field,min_wall_height,max_wall_height,hr_park_effects,extra_distance,avg_temp,elevation,roof,daytime
TEX,Globe Life Field,329,407,326,8.0,14,99,7.7,75.2,545,0.8,0.38
MIL,American Family Field,344,400,345,8.0,8,114,1.1,73.4,597,0.45,0.36
SEA,T-Mobile Park,331,405,327,7.0,15,97,-4.3,63.8,10,0.16,0.38
NYM,Citi Field,335,408,330,8.0,8,96,-3.8,73.9,10,0.0,0.33
CWS,Guaranteed Rate Field,330,400,335,8.0,8,124,-1.7,71.6,595,0.0,0.38
DET,Comerica Park,345,420,330,7.0,9,75,-7.7,73.3,600,0.0,0.61
TOR,Rogers Centre,328,404,328,8.0,8,108,-0.1,70.2,270,0.37,0.45
SF,Oracle Park,339,399,309,8.0,25,81,-1.6,64.4,0,0.0,0.49
LAA,Angel Stadium,330,396,330,5.0,8,121,1.3,76.8,151,0.0,0.28
ATL,Truist Park,335,400,325,11.0,15,99,1.8,79.2,1001,0.0,0.31
