pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,7/6/2023,87.2,-2.32,4.64,"Díaz, Alexis",660688,664747,field_out,hit_into_play,,,,,13,Keibert Ruiz lines out to center fielder TJ Friedl.,R,L,R,WSH,CIN,X,8,line_drive,1,1,2023,0.49,-0.19,-0.468501229,1.412733963937971,657041,671277,,2,10,Bot,108.16,82.29,,,,,3.565059794327703,-127.0196814,-1.293976043,4.626872254201607,23.57715356669603,-34.15198324,3.4,1.61,294,82.7,27,90.2,2679,7.9,717481,663886,668715,680574,669222,682829,666181,670770,641584,52.64,0.108,0.105,0,1,0,0,3,79,3,Slider,4,5,4,5,5,4,4,5,Infield shade,Standard,103,-0.238,-0.257,,,0.162,0.257,88,-1,-1,0.238,0.238,26,24,27,25,1,4,3,1,2,2,3.15,-0.49,0.49,12.3,,,,,
FF,7/6/2023,95.6,-2.39,4.55,"Díaz, Alexis",660688,664747,,called_strike,,,,,7,Called Strike,R,L,R,WSH,CIN,S,,,1,0,2023,-0.92,1.15,-0.811123791,2.155798610556555,657041,671277,,2,10,Bot,,,,,,,6.402412030819858,-139.1344761,-3.364005642,-13.37358346,30.199126645749704,-16.68493015,3.475429779,1.658798437,,,,98.3,2560,7.7,717481,663886,668715,680574,669222,682829,666181,670770,641584,52.8,,,,,,,,79,2,4-Seam Fastball,4,5,4,5,5,4,4,5,Infield shade,Standard,234,-0.008,-0.053,,,,0.053,,-1,-1,0.246,0.246,26,24,27,25,1,4,3,1,2,2,1.34,0.92,-0.92,9.5,,,,,
FF,7/6/2023,95.2,-2.3,4.54,"Díaz, Alexis",660688,664747,,ball,,,,,11,Ball,R,L,R,WSH,CIN,B,,,0,0,2023,-0.63,1.14,-0.875961118,3.474920923837894,657041,671277,,2,10,Bot,,,,,,,5.301129134463636,-138.5743729,0.2760187513359474,-9.34356065,30.282277223049253,-17.6884438,3.606087962,1.710360987,,,,97.8,2509,7.7,717481,663886,668715,680574,669222,682829,666181,670770,641584,52.81,,,,,,,,79,1,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,230,0.004,0.018,,,,-0.018,,-1,-1,0.242,0.242,26,24,27,25,1,4,3,1,2,2,1.37,0.63,-0.63,11.3,,,,,
SL,7/6/2023,88.5,-2.16,4.76,"Díaz, Alexis",572816,664747,field_out,hit_into_play,,,,,14,"Corey Dickerson grounds out, third baseman Nick Senzel to first baseman Spencer Steer. Lane Thomas to 3rd. Luis Garcia to 2nd.",R,L,R,WSH,CIN,X,5,ground_ball,0,2,2023,0.36,0.08,0.038284885,0.8527421113990248,,657041,671277,1,10,Bot,109.64,168.19,,,,,4.737552984609404,-128.9937025,-3.783353729,3.165069303,23.905714722330494,-30.76551125,3.45,1.57,2,76.7,-24,91.2,2743,7.6,717481,663886,668715,680574,669222,682829,666181,670770,641584,52.89,0.036,0.046,0,1,0,0,2,78,3,Slider,4,5,4,5,5,4,4,5,Standard,Standard,113,-0.034,-0.234,,,0.036,0.234,88,-1,-1,0.276,0.276,26,34,27,34,1,1,3,1,2,3,2.8,-0.36,0.36,12.1,,,,,
FF,7/6/2023,94,-2.23,4.6,"Díaz, Alexis",572816,664747,,foul,,,,,4,Foul,R,L,R,WSH,CIN,S,,,0,1,2023,-0.97,1.12,-0.396550476,2.488839306416786,,657041,671277,1,10,Bot,,,,,,,7.084542606603424,-136.8221474,-2.340219473,-13.68727282,27.60905080739152,-17.76447945,3.45,1.57,217,76.4,49,96.8,2589,7.7,717481,663886,668715,680574,669222,682829,666181,670770,641584,52.83,,,,,,,,78,2,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,233,-0.042,-0.05,,,,0.05,88,-1,-1,0.318,0.318,26,34,27,34,1,1,3,1,2,3,1.44,0.97,-0.97,8,,,,,
SL,7/6/2023,87.5,-2.32,4.69,"Díaz, Alexis",572816,664747,,called_strike,,,,,8,Called Strike,R,L,R,WSH,CIN,S,,,0,0,2023,0.28,0.26,-0.160831731,2.0315941583810373,,657041,671277,1,10,Bot,,,,,,,4.767040043450734,-127.4523636,-0.870885789,2.1349375264233945,23.83823265231596,-29.38977438,3.55159429,1.59302164,,,,90.1,2739,7.6,717481,663886,668715,680574,669222,682829,666181,670770,641584,52.87,,,,,,,,78,1,Slider,4,5,4,5,5,4,4,5,Standard,Standard,134,-0.025,-0.04,,,,0.04,,-1,-1,0.343,0.343,26,34,27,34,1,1,3,1,2,3,2.69,-0.28,0.28,11.7,,,,,
SL,7/6/2023,88.9,-2.25,4.69,"Díaz, Alexis",642086,664747,strikeout,swinging_strike,,,,,9,Dominic Smith strikes out swinging.,R,L,R,WSH,CIN,S,2,,2,2,2023,0.28,0.3,0.4304147141775455,1.6648034526913804,,657041,671277,0,10,Bot,,,,,,,6.149484209427561,-129.4873936,-2.130475878,2.058277516466134,23.745828239798136,-28.53498185,3.15,1.55,,,,91.6,2749,7.6,717481,663886,668715,680574,669222,682829,666181,670770,641584,52.9,,0,0,1,0,0,,77,5,Slider,4,5,4,5,5,4,4,5,Standard,Standard,147,-0.146,-0.202,,,,0.202,,-1,-1,0.489,0.489,26,28,27,28,1,1,3,1,2,1,2.55,-0.28,0.28,12.8,,,,,
SL,7/6/2023,86.3,-2.44,4.65,"Díaz, Alexis",642086,664747,,swinging_strike,,,,,14,Swinging Strike,R,L,R,WSH,CIN,S,,,2,1,2023,0.31,0.35,0.6698781767793838,1.1698832969416038,,657041,671277,0,10,Bot,,,,,,,6.972797737254786,-125.7250084,-2.935805305,2.103675178,21.606475160656338,-28.09121177,3.15,1.55,,,,89.4,2753,7.8,717481,663886,668715,680574,669222,682829,666181,670770,641584,52.71,,,,,,,,77,4,Slider,4,5,4,5,5,4,4,5,Standard,Standard,146,-0.047,-0.094,,,,0.094,,-1,-1,0.536,0.536,26,28,27,28,1,1,3,1,2,1,2.67,-0.31,0.31,10.1,,,,,
FF,7/6/2023,93.7,-2.28,4.6,"Díaz, Alexis",642086,664747,,ball,,,,,14,Ball,R,L,R,WSH,CIN,B,,,1,1,2023,-0.85,1.17,1.762667131746391,1.3005895355687278,,657041,671277,0,10,Bot,,,,,,,12.63689318393777,-136.0172961,-5.558749105,-12.95645004,25.15764370904739,-16.56053756,3.22526388,1.676093374,,,,96.8,2621,7.8,717481,663886,668715,680574,669222,682829,666181,670770,641584,52.69,,,,,,,,77,3,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,234,0.03,0.052,,,,-0.052,,-1,-1,0.506,0.506,26,28,27,28,1,1,3,1,2,1,1.41,0.85,-0.85,10,,,,,
FF,7/6/2023,95.1,-2.32,4.57,"Díaz, Alexis",642086,664747,,ball,,,,,11,Ball,R,L,R,WSH,CIN,B,,,0,1,2023,-1.09,1.03,-1.5690299,2.803155211594823,,657041,671277,0,10,Bot,,,,,,,4.540338986469475,-138.6265996,-1.394729725,-15.01199996,27.095218395285418,-18.67323333,3.32952166,1.650316683,,,,98.3,2542,7.7,717481,663886,668715,680574,669222,682829,666181,670770,641584,52.82,,,,,,,,77,2,4-Seam Fastball,4,5,4,5,5,4,4,5,Standard,Standard,239,0.017,0.034,,,,-0.034,,-1,-1,0.489,0.489,26,28,27,28,1,1,3,1,2,1,1.46,1.09,-1.09,7.5,,,,,
