game_pk,game_date,home_team,away_team,park_id
717481,2023-07-06,WSH,CIN,WAS11
717480,2023-07-06,CWS,TOR,CHI12
717476,2023-07-06,DET,ATH,DET05
717475,2023-07-06,NYY,BAL,NYC21
717474,2023-07-06,MIL,CHC,MIL06
717473,2023-07-06,MIA,STL,MIA02
717472,2023-07-06,TB,PHI,STP01
717471,2023-07-06,BOS,TEX,BOS07
717470,2023-07-06,AZ,NYM,PHO01
717469,2023-07-06,CLE,KC,CLE08
717468,2023-07-06,CWS,TOR,CHI12
717467,2023-07-06,HOU,SEA,HOU03
717462,2023-07-06,LAD,PIT,LOS03
717493,2023-07-05,WSH,CIN,WAS11
717491,2023-07-05,TB,PHI,STP01
717490,2023-07-05,SF,SEA,SFO03
717489,2023-07-05,HOU,COL,HOU03
717488,2023-07-05,MIA,STL,MIA02
717487,2023-07-05,NYY,BAL,NYC21
717486,2023-07-05,CLE,ATL,CLE08
717485,2023-07-05,DET,ATH,DET05
717484,2023-07-05,BOS,TEX,BOS07
717483,2023-07-05,MIL,CHC,MIL06
717482,2023-07-05,MIN,KC,MIN04
717479,2023-07-05,LAD,PIT,LOS03
717478,2023-07-05,SD,LAA,SAN02
717477,2023-07-05,AZ,NYM,PHO01
717509,2023-07-04,SF,SEA,SFO03
717508,2023-07-04,NYY,BAL,NYC21
717507,2023-07-04,WSH,CIN,WAS11
717504,2023-07-04,HOU,COL,HOU03
717503,2023-07-04,MIL,CHC,MIL06
717502,2023-07-04,MIA,STL,MIA02
717501,2023-07-04,BOS,TEX,BOS07
717500,2023-07-04,MIN,KC,MIN04
717499,2023-07-04,TB,PHI,STP01
717498,2023-07-04,AZ,NYM,PHO01
717497,2023-07-04,SD,LAA,SAN02
717496,2023-07-04,CWS,TOR,CHI12
717495,2023-07-04,CLE,ATL,CLE08
717494,2023-07-04,DET,ATH,DET05
717492,2023-07-04,LAD,PIT,LOS03
717517,2023-07-03,WSH,CIN,WAS11
717516,2023-07-03,SF,SEA,SFO03
717515,2023-07-03,MIA,STL,MIA02
717514,2023-07-03,TEX,HOU,ARL03
717513,2023-07-03,NYY,BAL,NYC21
717512,2023-07-03,CLE,ATL,CLE08
717511,2023-07-03,MIL,CHC,MIL06
717510,2023-07-03,MIN,KC,MIN04
717506,2023-07-03,LAD,PIT,LOS03
717505,2023-07-03,SD,LAA,SAN02
717532,2023-07-02,ATL,MIA,ATL03
717531,2023-07-02,PIT,MIL,PIT08
717530,2023-07-02,TOR,BOS,TOR02
717529,2023-07-02,BAL,MIN,BAL12
717528,2023-07-02,PHI,WSH,PHI13
717527,2023-07-02,KC,LAD,KAN06
717526,2023-07-02,CIN,SD,CIN09
717525,2023-07-02,NYM,SF,NYC20
717524,2023-07-02,STL,NYY,STL10
717523,2023-07-02,COL,DET,DEN02
717522,2023-07-02,LAA,AZ,ANA01
717521,2023-07-02,CHC,CLE,CHI11
717520,2023-07-02,TEX,HOU,ARL03
717519,2023-07-02,SEA,TB,SEA03
717518,2023-07-02,ATH,CWS,OAK01
717550,2023-07-01,STL,NYY,STL10
717547,2023-07-01,TOR,BOS,TOR02
717546,2023-07-01,CHC,CLE,CHI11
717545,2023-07-01,STL,NYY,STL10
717544,2023-07-01,COL,DET,DEN02
717543,2023-07-01,PHI,WSH,PHI13
717542,2023-07-01,TEX,HOU,ARL03
717541,2023-07-01,BAL,MIN,BAL12
717540,2023-07-01,PIT,MIL,PIT08
717539,2023-07-01,CIN,SD,CIN09
717538,2023-07-01,ATH,CWS,OAK01
717537,2023-07-01,KC,LAD,KAN06
717536,2023-07-01,ATL,MIA,ATL03
717535,2023-07-01,NYM,SF,NYC20
717534,2023-07-01,SEA,TB,SEA03
717533,2023-07-01,LAA,AZ,ANA01
717563,2023-06-30,PHI,WSH,PHI13
717562,2023-06-30,PIT,MIL,PIT08
717561,2023-06-30,BAL,MIN,BAL12
717559,2023-06-30,CHC,CLE,CHI11
717558,2023-06-30,ATL,MIA,ATL03
717557,2023-06-30,CIN,SD,CIN09
717556,2023-06-30,NYM,SF,NYC20
717555,2023-06-30,TOR,BOS,TOR02
717554,2023-06-30,TEX,HOU,ARL03
717553,2023-06-30,KC,LAD,KAN06
717552,2023-06-30,COL,DET,DEN02
717551,2023-06-30,ATH,CWS,OAK01
717549,2023-06-30,LAA,AZ,ANA01
717548,2023-06-30,SEA,TB,SEA03
717435,2023-07-09,BOS,ATH,BOS07
717434,2023-07-09,CLE,KC,CLE08
717433,2023-07-09,NYY,CHC,NYC21
717432,2023-07-09,WSH,TEX,WAS11
717431,2023-07-09,DET,TOR,DET05
717430,2023-07-09,HOU,SEA,HOU03
717429,2023-07-09,TB,ATL,STP01
717428,2023-07-09,MIN,BAL,MIN04
717427,2023-07-09,MIL,CIN,MIL06
717426,2023-07-09,MIA,PHI,MIA02
717425,2023-07-09,AZ,PIT,PHO01
717424,2023-07-09,CWS,STL,CHI12
717423,2023-07-09,SD,NYM,SAN02
717422,2023-07-09,SF,COL,SFO03
717451,2023-07-08,SF,COL,SFO03
717450,2023-07-08,WSH,TEX,WAS11
717449,2023-07-08,BOS,ATH,BOS07
717447,2023-07-08,NYY,CHC,NYC21
717446,2023-07-08,MIN,BAL,MIN04
717445,2023-07-08,CWS,STL,CHI12
717444,2023-07-08,MIL,CIN,MIL06
717443,2023-07-08,CLE,KC,CLE08
717442,2023-07-08,DET,TOR,DET05
717441,2023-07-08,TB,ATL,STP01
717440,2023-07-08,HOU,SEA,HOU03
717439,2023-07-08,AZ,PIT,PHO01
717438,2023-07-08,MIA,PHI,MIA02
717437,2023-07-08,LAD,LAA,LOS03
717436,2023-07-08,SD,NYM,SAN02
717466,2023-07-07,MIA,PHI,MIA02
717465,2023-07-07,WSH,TEX,WAS11
717464,2023-07-07,NYY,CHC,NYC21
717463,2023-07-07,CLE,KC,CLE08
717461,2023-07-07,BOS,ATH,BOS07
717460,2023-07-07,TB,ATL,STP01
717459,2023-07-07,MIL,CIN,MIL06
717458,2023-07-07,MIN,BAL,MIN04
717457,2023-07-07,DET,TOR,DET05
717456,2023-07-07,LAD,LAA,LOS03
717455,2023-07-07,CWS,STL,CHI12
717454,2023-07-07,SD,NYM,SAN02
717453,2023-07-07,HOU,SEA,HOU03
717452,2023-07-07,AZ,PIT,PHO01
717448,2023-07-07,SF,COL,SFO03
717337,2023-07-20,ATL,AZ,ATL03
717334,2023-07-20,CIN,SF,CIN09
717332,2023-07-20,KC,DET,KAN06
717331,2023-07-20,TOR,SD,TOR02
717330,2023-07-20,NYM,CWS,NYC20
717329,2023-07-20,PHI,MIL,PHI13
717328,2023-07-20,TB,BAL,STP01
717327,2023-07-20,SEA,MIN,SEA03
717323,2023-07-20,ATH,HOU,OAK01
717322,2023-07-20,CHC,STL,CHI11
717351,2023-07-19,STL,MIA,STL10
717348,2023-07-19,PIT,CLE,PIT08
717347,2023-07-19,PHI,MIL,PHI13
717346,2023-07-19,TEX,TB,ARL03
717345,2023-07-19,COL,HOU,DEN02
717344,2023-07-19,ATH,BOS,OAK01
717343,2023-07-19,BAL,LAD,BAL12
717342,2023-07-19,CIN,SF,CIN09
717341,2023-07-19,NYM,CWS,NYC20
717340,2023-07-19,ATL,AZ,ATL03
717339,2023-07-19,LAA,NYY,ANA01
717338,2023-07-19,TOR,SD,TOR02
717336,2023-07-19,CHC,WSH,CHI11
717335,2023-07-19,SEA,MIN,SEA03
717333,2023-07-19,KC,DET,KAN06
717364,2023-07-18,PIT,CLE,PIT08
717363,2023-07-18,PHI,MIL,PHI13
717362,2023-07-18,TOR,SD,TOR02
717361,2023-07-18,BAL,LAD,BAL12
717360,2023-07-18,CIN,SF,CIN09
717359,2023-07-18,NYM,CWS,NYC20
717358,2023-07-18,ATL,AZ,ATL03
717357,2023-07-18,STL,MIA,STL10
717356,2023-07-18,KC,DET,KAN06
717355,2023-07-18,COL,HOU,DEN02
717354,2023-07-18,TEX,TB,ARL03
