weather_id,park_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean
1,ANA01,2023-06-30,80.3,57.0,0.0,9.5,78
2,ANA01,2023-07-01,81.2,58.9,0.008,10.9,79
3,ANA01,2023-07-02,81.6,58.7,0.0,11.6,80
4,ANA01,2023-07-03,79.9,55.8,0.0,10.1,80
5,ANA01,2023-07-04,78.9,57.0,0.0,9.8,75
6,ANA01,2023-07-05,78.9,56.8,0.0,9.3,72
7,ANA01,2023-07-06,76.2,57.6,0.0,9.7,75
8,ANA01,2023-07-07,76.8,57.1,0.0,9.8,71
9,ANA01,2023-07-08,77.6,55.9,0.0,9.6,75
10,ANA01,2023-07-09,78.4,57.1,0.0,9.1,73
11,ANA01,2023-07-10,81.3,58.1,0.0,10.3,72
12,ANA01,2023-07-11,85.6,60.1,0.0,10.4,66
13,ANA01,2023-07-12,91.4,61.0,0.0,11.2,54
14,ANA01,2023-07-13,89.2,62.7,0.0,11.5,56
15,ANA01,2023-07-14,90.3,60.3,0.0,9.4,59
16,ANA01,2023-07-15,82.6,61.1,0.0,10.7,74
17,ANA01,2023-07-16,86.0,61.6,0.0,9.7,75
18,ANA01,2023-07-17,86.3,63.0,0.0,9.8,71
19,ANA01,2023-07-18,87.9,61.5,0.0,10.9,68
20,ANA01,2023-07-19,91.0,62.5,0.0,11.0,64
21,ANA01,2023-07-20,89.7,62.4,0.0,10.0,66
22,ANA01,2023-07-21,85.6,62.2,0.0,9.5,69
23,ANA01,2023-07-22,86.1,60.5,0.0,9.8,70
24,ANA01,2023-07-23,92.5,61.3,0.0,11.0,76
25,ANA01,2023-07-24,86.1,63.9,0.0,10.9,77
26,ANA01,2023-07-25,91.9,63.8,0.0,11.2,67
27,ANA01,2023-07-26,95.4,65.0,0.0,10.1,55
28,ANA01,2023-07-27,94.8,64.1,0.0,9.8,63
29,ANA01,2023-07-28,86.8,64.1,0.0,11.1,75
30,ANA01,2023-07-29,90.6,63.0,0.0,11.5,74
31,ANA01,2023-07-30,87.4,66.6,0.0,9.3,78
32,ANA01,2023-07-31,97.0,67.4,0.0,13.7,66
33,ANA01,2023-08-01,89.7,69.0,0.004,10.1,63
34,ANA01,2023-08-02,85.9,64.7,0.0,10.8,68
35,ANA01,2023-08-03,83.9,62.0,0.0,11.5,68
36,ANA01,2023-08-04,83.4,62.9,0.0,10.2,73
37,ANA01,2023-08-05,87.8,61.9,0.0,10.1,73
38,ANA01,2023-08-06,89.9,62.6,0.0,11.1,75
39,ANA01,2023-08-07,87.1,59.8,0.0,12.3,70
40,ANA01,2023-08-08,83.5,62.6,0.016,10.8,72
41,ANA01,2023-08-09,79.6,66.7,0.055,9.4,78
