date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,park_id
2023-06-30,84.7,61.4,0.0,7.6,70,ALB01
2023-07-01,85.6,63.2,0.031,12.5,70,ALB01
2023-07-02,76.9,65.2,1.012,9.3,87,ALB01
2023-07-03,82.4,68.4,1.937,9.1,89,ALB01
2023-07-04,85.3,68.0,0.028,5.1,82,ALB01
2023-07-05,90.1,66.7,0.0,3.6,76,ALB01
2023-07-06,91.1,69.2,0.106,9.7,79,ALB01
2023-07-07,90.1,69.4,0.079,8.3,79,ALB01
2023-07-08,86.1,69.9,0.055,6.4,82,ALB01
2023-07-09,82.9,67.8,0.248,10.8,89,ALB01
2023-07-10,79.2,66.8,1.311,10.5,87,ALB01
2023-07-11,87.7,64.2,0.122,4.8,78,ALB01
2023-07-12,84.1,63.1,0.087,9.5,89,ALB01
2023-07-13,85.8,66.3,0.346,15.2,84,ALB01
2023-07-14,80.9,65.4,0.335,8.6,86,ALB01
2023-07-15,85.6,65.0,0.0,8.8,82,ALB01
2023-07-16,82.1,68.8,0.291,10.3,91,ALB01
2023-07-17,87.0,65.8,0.028,7.1,79,ALB01
2023-07-18,83.8,67.3,0.35,6.4,87,ALB01
2023-07-19,82.1,63.0,0.0,7.4,73,ALB01
2023-07-20,82.4,60.1,0.0,8.1,71,ALB01
2023-07-21,77.0,66.7,0.488,10.5,86,ALB01
2023-07-22,80.4,62.4,0.004,8.9,68,ALB01
2023-07-23,81.6,58.1,0.0,6.3,70,ALB01
2023-07-24,82.6,62.8,0.189,9.0,85,ALB01
2023-07-25,80.6,64.8,0.028,8.0,86,ALB01
2023-07-26,85.6,64.3,0.0,11.2,79,ALB01
2023-07-27,86.5,69.5,0.457,14.8,84,ALB01
2023-07-28,90.0,68.3,0.016,6.3,79,ALB01
2023-07-29,84.2,60.5,0.469,13.1,88,ALB01
2023-07-30,75.0,57.6,0.004,9.4,70,ALB01
2023-07-31,77.6,56.3,0.0,10.5,72,ALB01
2023-08-01,73.9,53.4,0.012,8.9,69,ALB01
2023-08-02,75.9,52.1,0.0,5.3,70,ALB01
2023-08-03,80.1,57.0,0.083,13.5,76,ALB01
2023-08-04,77.9,63.1,0.169,11.3,84,ALB01
2023-08-05,81.0,59.0,0.004,6.4,75,ALB01
2023-08-06,80.3,55.8,0.0,5.8,71,ALB01
2023-08-07,80.3,64.5,0.807,14.6,87,ALB01
2023-08-08,79.3,69.7,0.327,11.7,83,ALB01
2023-08-09,82.1,66.1,0.004,13.0,68,ALB01
2023-08-10,78.2,59.5,0.071,9.9,85,ALB01
2023-08-11,78.9,62.5,0.0,11.8,71,ALB01
2023-08-12,81.5,55.8,0.004,11.4,78,ALB01
2023-08-13,81.2,66.3,0.181,8.3,79,ALB01
2023-08-14,81.2,63.0,0.028,6.1,77,ALB01
2023-08-15,73.5,66.2,1.268,6.2,92,ALB01
2023-08-16,79.1,65.7,0.122,7.4,87,ALB01
2023-08-17,79.8,67.4,0.016,10.9,84,ALB01
2023-08-18,78.3,63.2,0.106,11.3,74,ALB01
2023-08-19,73.2,61.0,0.087,10.6,68,ALB01
2023-08-20,83.8,55.8,0.0,6.9,74,ALB01
2023-08-21,83.3,63.4,0.083,10.1,82,ALB01
2023-08-22,76.3,57.5,0.0,10.1,71,ALB01
2023-08-23,76.8,57.7,0.0,5.1,72,ALB01
2023-08-24,71.1,58.1,0.039,11.9,83,ALB01
2023-08-25,79.4,64.1,1.083,12.3,89,ALB01
2023-08-26,80.7,65.3,0.02,8.5,81,ALB01
2023-08-27,74.4,62.7,0.039,8.3,84,ALB01
2023-08-28,76.7,57.7,0.031,6.3,87,ALB01
2023-08-29,80.1,63.2,0.0,8.6,81,ALB01
2023-08-30,79.5,64.5,0.555,12.0,78,ALB01
2023-08-31,71.4,57.4,0.0,9.2,68,ALB01
2023-06-30,82.7,58.9,0.067,5.5,75,ALT01
2023-07-01,83.4,63.7,0.205,9.1,88,ALT01
2023-07-02,78.8,64.0,0.268,9.8,94,ALT01
2023-07-03,78.2,65.7,0.118,9.0,88,ALT01
2023-07-04,80.9,63.7,0.024,6.5,85,ALT01
2023-07-05,83.8,64.7,0.031,5.2,81,ALT01
2023-07-06,87.2,65.6,0.071,4.9,76,ALT01
2023-07-07,84.5,67.4,0.067,8.5,80,ALT01
2023-07-08,84.4,60.9,0.0,5.2,69,ALT01
2023-07-09,72.9,65.6,0.39,5.2,89,ALT01
2023-07-10,78.3,64.2,0.079,8.9,78,ALT01
2023-07-11,83.8,59.4,0.0,9.2,68,ALT01
2023-07-12,83.8,63.0,0.031,9.7,68,ALT01
2023-07-13,88.4,65.5,0.039,13.1,62,ALT01
